nppes_provider_state,counts,nppes_provider_zip5,total_claim_count,brand_claim_count,generic_claim_count,brand_drug_cost,generic_drug_cost,total_drug_cost,total_30_day_fill_count,total_day_supply,bene_count,brand_percent_spending,log_brand_cost,log_generic_cost
NM,7357,643069876.0,7423045,1182718.0,5857692.0,476620878.7200004,153452791.35999987,736670094.9199988,11828281.599999983,331039258,928055.0,0.7564526203094377,8.678173063920116,8.18597479563852
NV,7921,706517399.0,9620747,1406203.0,7751288.0,661331643.6399984,189077311.83999977,999689531.359998,16044343.499999914,450165429,1268115.0,0.7776630753690987,8.820419304140131,8.276639421497109
NY,92548,1073914562.0,97955185,17988335.0,74480099.0,8257708284.940009,2334745212.709995,12301509059.13992,145813864.39999652,4081812024,11144022.0,0.7795840960521592,9.916859536804091,9.368239493759848
OH,45412,2012393041.0,64327041,10272123.0,51511460.0,4106414186.5400047,1386539893.1699908,6302921400.5100155,99130023.8999989,2731121572,6729715.0,0.7475784663316912,9.613462751729935,9.141932369816248
OK,12037,887076608.0,17888101,2948725.0,14189985.0,1114543982.6099994,358519756.1399978,1713644251.1500149,26852106.5000001,745199361,1711131.0,0.7566162639749533,9.04709721185816,8.554513093561566
OR,16410,1596619280.0,16967518,2521779.0,13595233.0,1026081554.46,349654926.0100016,1636080880.7599995,27403600.100000102,765850761,2030609.0,0.7458416412054824,9.01118188093039,8.543639652290773
PA,57589,1017988086.0,75720850,12293523.0,60256135.0,5181697325.709963,1581843341.5900006,7761967133.88003,112126233.6999991,3095161570,8013155.0,0.7661220033409691,9.714472041382589,9.19916347105955
PR,10321,8387963.0,27575960,3829691.0,22767617.0,928567297.6300014,346014998.47999996,1461186609.7300053,34168073.500000075,960760876,2051075.0,0.7285267498724637,8.967813385043472,8.539094925527461
RI,4962,14334528.0,6293985,852866.0,5160336.0,316659890.2100001,105987318.18000013,489117011.7300014,8674954.799999999,239894781,625629.0,0.7492298160829216,8.500593058227324,8.025253907344082
SC,15782,465077397.0,26360278,4227056.0,21123775.0,1795659898.4100008,513535180.99000025,2669973399.109996,39564108.80000024,1094774094,2713681.0,0.7776129069513554,9.25422408411508,8.710570202209281
SD,3342,191463846.0,4277481,644302.0,3443406.0,247428551.64000008,76192877.38999964,370529643.81,6325024.400000011,171955235,427731.0,0.7645617052666294,8.393449814688774,7.881914380519867
TN,25050,943326346.0,41050124,6279322.0,33154691.0,2569912641.1699963,828636667.5900083,3979099052.1500125,62373585.60000061,1710135923,4189110.0,0.7561793011347112,9.409918360814432,8.918364147661213
TX,73753,5687859419.0,94359394,15497894.0,74401668.0,7025161237.410018,2080232104.9200015,10744380484.76011,153220375.999996,4284917360,10611183.0,0.7715384688271268,9.846656296427387,9.318111794912982
UT,8757,737715169.0,7820977,1110379.0,6256588.0,495314641.91999984,172720406.95999938,797005209.5499994,13022507.89999998,362397810,927701.0,0.7414500822231177,8.694881167161446,8.237343655116861
VA,26558,610524365.0,31560543,4858123.0,25310443.0,2008414868.3499937,646745899.1500021,3097183258.959984,49317472.100000426,1369946136,3471518.0,0.7564193072350361,9.30285342802433,8.81073368431881
VI,176,212546.0,206439,26815.0,170164.0,10860764.120000001,3660571.039999998,17618521.529999994,252523.5,7161365,20517.0,0.7479177362365901,7.03586042154097,6.563548958182104
VT,2739,14973986.0,2727372,437177.0,2161333.0,200393859.74999985,62833232.44000001,294812742.4699999,4605844.699999998,128172982,306888.0,0.7612964838944223,8.301884412388626,7.798189409374013
WA,26761,2633781878.0,24299342,3586805.0,19403852.0,1563565335.350002,505297027.59999853,2508386121.5699863,39450128.800000235,1098600935,2936748.0,0.755760926077512,9.194116033723123,8.70354674437633
WI,21559,1160233625.0,26289874,4038910.0,21133081.0,1672714436.6299934,581894166.9899999,2621817852.670017,43628296.30000046,1213480143,2896028.0,0.7419090098140706,9.223421805429224,8.764844004516913
WV,7372,190467333.0,12785355,2080851.0,10242231.0,772000996.7299998,235176305.80999973,1145347107.4600046,18403885.999999955,511867929,1145239.0,0.7664995972239358,8.887617861615986,8.371393565958565
WY,1816,149846754.0,1829676,309755.0,1421392.0,102140974.46999988,34833588.78999999,160228784.92000002,2889017.8000000017,80121202,194470.0,0.7456930107243328,8.009200001152331,7.541998233162008
XX,11,500584.0,13164,1658.0,11060.0,536222.2799999999,282310.67999999993,870768.3799999999,23978.1,674883,1764.0,0.65510163451451,5.729345664842806,5.450728846459404
ZZ,166,4296599.0,70273,8868.0,54438.0,2865424.8699999996,1327408.5500000003,7320176.949999999,100353.7,2641192,11149.0,0.6834101389126973,6.4571891775237,6.123004937833207
