nppes_provider_city,counts,nppes_provider_zip5,total_claim_count,brand_claim_count,generic_claim_count,brand_drug_cost,generic_drug_cost,total_drug_cost,total_30_day_fill_count,total_day_supply,bene_count,brand_percent_spending,Index
PIEDMONT,65,3630698.0,181418,25025.0,152648.0,7101583.379999999,2899250.4600000004,10517241.01,246287.80000000005,6859746,10989.0,0.7100991270943863,5486
LAJUNTA,1,81050.0,8999,1762.0,7190.0,422891.11,172638.0,598496.52,16486.2,473446,447.0,0.7101098886669033,5487
VILLAGE OF PALMETTO BAY,28,928510.0,32894,4266.0,26513.0,1288552.26,526014.28,1996062.3400000003,54540.5,1543815,3887.0,0.7101157392663043,5488
GRETNA,213,14198763.0,286263,41181.0,232611.0,14082993.71,5748498.379999998,25052202.77000001,464702.4,12791894,37835.0,0.7101328354965953,5489
CHILHOWIE,6,145914.0,25027,3555.0,20694.0,960670.8,392112.89,1458981.1199999999,37303.0,1077988,1409.0,0.71014368897366,5490
BANNING,104,9590880.0,232456,37942.0,189369.0,10606882.87,4328895.34,15259928.32,382665.20000000007,10759484,21751.0,0.7101660670682923,5491
PECATONICA,3,183189.0,16920,2604.0,14071.0,675245.25,275556.3,959350.6599999999,25863.6,711135,852.0,0.7101852642120745,5492
OILTON,1,74052.0,3813,569.0,3230.0,173196.88,70676.73,244248.11,4831.1,133755,87.0,0.7101911518839616,5493
ARRINGTON,10,229220.0,29684,4093.0,24830.0,1509718.55,615930.1,2249177.72,43457.700000000004,1240755,2174.0,0.7102389898725737,5494
RAYMORE,26,1666158.0,38143,6567.0,30413.0,1886006.3299999998,769386.8499999999,2889813.8199999994,46689.6,1307230,2537.0,0.7102550176768926,5495
WAXHAW,30,845190.0,42918,6134.0,34759.0,1796062.72,732629.0499999998,2826888.7499999995,82035.1,2360574,4354.0,0.7102734865942164,5496
EASTMAN,35,1085805.0,172547,28343.0,141387.0,6476119.63,2641613.1000000006,9273325.09,204778.69999999995,5472000,7059.0,0.7102774145475527,5497
AVON,500,18027748.0,639129,89724.0,519146.0,35959447.330000006,14666690.3,59014021.630000055,1123490.2000000004,31795529,76286.0,0.710294109197285,5498
GREEN COVE SPRINGS,22,704998.0,26833,3296.0,22430.0,1121099.2799999998,457236.56000000006,1707246.2400000002,52102.6,1470175,2892.0,0.7103046459364439,5499
TOPPENISH,48,4749504.0,54233,9439.0,42007.0,2298277.46,937329.8199999997,3456784.3800000004,84453.7,2398487,4627.0,0.7103079147479233,5500
FLEMINGSBURG,29,1190189.0,113688,17629.0,93882.0,4316220.7299999995,1760297.28,6196867.0600000005,151269.30000000002,4028082,5775.0,0.7103115176976164,5501
MONTEAGLE,7,261492.0,19277,2937.0,15974.0,860328.3900000001,350822.74000000005,1223395.4700000002,32861.399999999994,952790,1052.0,0.7103394189955469,5502
SUMERSET,1,15501.0,5943,1002.0,4853.0,329142.64,134212.86,467320.46,10889.5,315986,502.0,0.7103458143908943,5503
LA GRANGE HIGHLANDS,44,2663100.0,43213,6366.0,34266.0,2358975.04,961805.4299999998,5927913.659999998,74059.1,2077942,6227.0,0.7103676564322845,5504
RIVERVIEW,166,6275184.0,322247,43327.0,269434.0,16559953.679999996,6750510.919999997,27004378.00999999,604843.4000000001,17338500,34130.0,0.7104085638859382,5505
COUNCE,1,38326.0,47461,9727.0,37477.0,1506398.7,614012.31,2129070.16,56983.6,1186689,918.0,0.7104276920350456,5506
RINGGOLD,60,2045820.0,268544,41069.0,218945.0,11480439.75,4679459.14,17741400.499999993,447686.59999999986,12534505,17489.0,0.7104276968653731,5507
GUANICA,13,8477.0,70778,8848.0,59501.0,1680628.28,685016.49,2414892.69,92647.09999999999,2613485,3006.0,0.7104313806167948,5508
DAMARISCOTTA,47,213521.0,45639,7362.0,35644.0,2287387.1,932321.0900000001,3442041.5200000005,82518.9,2282231,7439.0,0.7104330470395828,5509
GOODFELLOW AFB,5,384540.0,2943,440.0,2368.0,141580.65,57700.590000000004,211881.83,4802.1,133227,430.0,0.7104564885284737,5510
BRISTOW,27,1325287.0,50663,8845.0,41138.0,1796805.71,732259.19,2575305.639999999,68757.6,1892102,2745.0,0.7104624756762865,5511
DUNLAP,23,1060517.0,70249,12081.0,56287.0,2881943.9400000004,1174434.49,4247385.45,102056.19999999997,2760090,4473.0,0.710472158782286,5512
MONTROSS,6,135120.0,21676,2706.0,18446.0,740093.77,301577.25000000006,1124289.27,33405.399999999994,967177,1125.0,0.7104870499325209,5513
POTTER VALLEY,2,190938.0,358,55.0,238.0,8734.07,3559.0,13418.66,364.2,7618,105.0,0.7104872908069343,5514
CORSICANA,76,5708359.0,175076,31140.0,139316.0,7262715.860000004,2959368.850000001,11513324.0,254287.4,6826009,13682.0,0.7104926310085333,5515
RULEVILLE,20,775420.0,46076,5620.0,39560.0,1283067.71,522784.73000000004,1893985.5699999998,50183.299999999996,1190808,3175.0,0.710505289125395,5516
BENBROOK,34,2588088.0,44146,6469.0,36588.0,2139770.27,871349.8200000003,3145050.0600000005,75522.6,2107307,4957.0,0.7106226938959448,5517
ENDICOTT,54,743040.0,87664,13727.0,69059.0,4497327.23,1831341.38,7602240.539999999,145244.59999999998,4051640,11021.0,0.7106277018350626,5518
PATAGONIA,2,171248.0,6240,1217.0,4945.0,264502.79000000004,107705.70000000001,374113.95999999996,9338.3,263137,510.0,0.7106307274183885,5519
BASALT,30,2448630.0,24445,3752.0,18965.0,1314401.6100000003,535206.97,2134878.34,39802.6,1118745,2471.0,0.7106377123315465,5520
FORTUNA,45,4299300.0,99869,13239.0,84731.0,4199773.139999999,1710050.4899999998,6227261.270000001,137743.90000000002,3910003,7392.0,0.7106427201449326,5521
